Transaction date,Transaction Type,Sort Code,Account Number,Transaction description,Debit amount,Credit amount,Balance
30/09/2021,FPI,77-69-69,27461,FASTER PAYMENT,,58.5,138.72
30/09/2021,FPI,77-69-69,27461,Adyen N.V. eBay P5222216310 T,,69.82,80.22
29/09/2021,FPO,77-69-69,27461,DTT SOLUTIONS LIMI Purchase,70,,10.4
22/09/2021,FPI,77-69-69,27461,PAYPAL PPWDL4QHJ22223Y4JN,,11.66,80.4
20/09/2021,FPI,77-69-69,27461,Adyen N.V. eBay P5212863198 T,,20.26,68.74
17/09/2021,DD,77-69-69,27461,PAYPAL PAYMENT REFERENCE: 4QHJ222AHXYRN,31.66,,48.48
13/09/2021,FPI,77-69-69,27461,Adyen N.V. eBay P5207184798 T,,28.85,80.14
02/09/2021,PAY,77-69-69,27461,Service Charges Ref:703388188,,,51.29
02/09/2021,DD,77-69-69,27461,EBAY SARL REFERENCE: CA72B785D57C4FC0A0,11.52,,51.29
27/08/2021,DD,77-69-69,27461,EBAY SARL REFERENCE: CA72B785D57C4FC0A0,4.68,,62.81
05/08/2021,FPI,77-69-69,27461,Adyen N.V. eBay P5177795478 T,,9.56,67.49
04/08/2021,FPI,77-69-69,27461,Adyen N.V. eBay P5176751070 T,,13.35,57.93
02/08/2021,PAY,77-69-69,27461,Service Charges Ref:703278470,,,44.58
29/07/2021,FPI,77-69-69,27461,Adyen N.V. eBay P5172360918 T,,20.2,44.58
28/07/2021,FPI,77-69-69,27461,Adyen N.V. eBay P5171581062 T,,8.75,24.38
28/07/2021,DD,77-69-69,27461,EBAY SARL REFERENCE: CA72B785D57C4FC0A0,12.24,,15.63
22/07/2021,DD,77-69-69,27461,EBAY SARL REFERENCE: CA72B785D57C4FC0A0,1.44,,27.87
14/07/2021,DD,77-69-69,27461,EBAY SARL REFERENCE: CA72B785D57C4FC0A0,91.26,,29.31
07/07/2021,FPI,77-69-69,27461,Adyen N.V. eBay P5155968054 T,,86.22,120.57
03/07/2021,PAY,77-69-69,27461,Service Charges Ref:703169105,,,34.35
